Date,High,Low,Close,Volume,Name
2017-09-17,1255,1210,1245,8537,NABIL
2017-09-18,1270,1255,1264,6829,NABIL
2017-09-20,1274,1254,1254,5611,NABIL
2017-09-24,1260,1242,1254,8497,NABIL
2017-09-25,1265,1258,1260,2474,NABIL
2017-09-26,1265,1251,1264,6134,NABIL
2017-10-03,1265,1243,1265,1586,NABIL
2017-10-04,1269,1245,1245,5471,NABIL
2017-10-08,1245,1200,1218,5817,NABIL
2017-10-09,1225,1200,1205,6902,NABIL
2017-10-10,1211,1190,1205,2185,NABIL
2017-10-11,1209,1199,1200,5616,NABIL
2017-10-12,1205,1195,1200,6344,NABIL
2017-10-15,1219,1200,1219,1432,NABIL
2017-10-16,1285,1220,1285,6273,NABIL
2017-10-17,1291,1265,1273,6476,NABIL
2017-10-18,1280,1264,1277,4812,NABIL
2017-10-22,1285,1270,1272,1070,NABIL
2017-10-23,1280,1260,1265,1708,NABIL
2017-10-24,1270,1251,1257,2908,NABIL
2017-10-25,1265,1235,1235,2350,NABIL
2017-10-29,1240,1225,1230,2416,NABIL
2017-10-30,1234,1220,1225,5881,NABIL
2017-10-31,1225,1210,1219,4315,NABIL
2017-11-01,1235,1220,1220,3253,NABIL
2017-11-02,1230,1208,1215,7706,NABIL
2017-11-05,1210,1194,1203,7767,NABIL
2017-11-06,1200,1180,1190,5666,NABIL
2017-11-07,1195,1175,1179,9207,NABIL
2017-11-08,1180,1165,1165,4291,NABIL
2017-11-09,1165,1130,1130,18364,NABIL
2017-11-12,1150,1121,1150,10024,NABIL
2017-11-13,1165,1150,1161,10925,NABIL
2017-11-14,1200,1163,1200,11066,NABIL
2017-11-15,1208,1197,1200,8902,NABIL
2017-11-16,1200,1180,1182,4677,NABIL
2017-11-19,1200,1168,1168,2558,NABIL
2017-11-20,1157,1140,1140,11937,NABIL
2017-11-21,1162,1130,1145,4337,NABIL
2017-11-22,1168,1160,1166,3050,NABIL
2017-11-23,1175,1166,1166,5085,NABIL
2017-11-26,1180,1170,1175,7461,NABIL
2017-11-27,1184,1160,1165,7045,NABIL
2017-11-28,1180,1165,1180,5031,NABIL
2017-11-29,1190,1180,1180,11254,NABIL
2017-11-30,1190,1170,1179,8116,NABIL
2017-12-04,1181,1166,1166,4406,NABIL
2017-12-05,1170,1155,1170,4113,NABIL
2017-12-06,1180,1165,1168,4018,NABIL
2017-12-10,1176,1155,1164,9654,NABIL
2017-12-11,1167,1152,1167,2773,NABIL
2017-12-12,1170,1153,1160,950,NABIL
2017-12-13,1160,1155,1156,2013,NABIL
2017-12-14,1169,1159,1160,1117,NABIL
2017-12-17,1160,1150,1155,3691,NABIL
2017-12-18,1164,1160,1160,1545,NABIL
2017-12-19,1161,1155,1155,2366,NABIL
2017-12-20,1160,1145,1155,2665,NABIL
2017-12-21,1160,1145,1149,4245,NABIL
2017-12-24,1155,1148,1150,4231,NABIL
2017-12-26,1155,1130,1145,2029,NABIL
2017-12-27,1143,1130,1134,2831,NABIL
2017-12-28,1129,1085,1090,15690,NABIL
2017-12-31,1090,1015,1020,19263,NABIL
2018-01-01,1065,1020,1065,15122,NABIL
2018-01-02,1101,1065,1080,24418,NABIL
2018-01-03,1100,1050,1055,12532,NABIL
2018-01-04,1081,1059,1080,7265,NABIL
2018-01-07,1090,1074,1081,8667,NABIL
2018-01-08,1097,1080,1089,14120,NABIL
2018-01-09,1100,1089,1090,9727,NABIL
2018-01-10,1093,1070,1070,12309,NABIL
2018-01-14,1073,1055,1065,9390,NABIL
2018-01-16,1066,1025,1030,22276,NABIL
2018-01-17,1045,1010,1039,20617,NABIL
2018-01-21,1045,1025,1039,12003,NABIL
2018-01-22,1043,1033,1039,11946,NABIL
2018-01-23,1040,1030,1031,6612,NABIL
2018-01-24,1032,1010,1015,19823,NABIL
2018-01-25,1039,1020,1037,8156,NABIL
2018-01-28,1055,1044,1048,10059,NABIL
2018-01-29,1055,1045,1052,11653,NABIL
2018-01-31,1070,1058,1070,10033,NABIL
2018-02-01,1098,1075,1090,12664,NABIL
2018-02-04,1099,1086,1086,19894,NABIL
2018-02-05,1092,1074,1077,12146,NABIL
2018-02-06,1073,1065,1072,4578,NABIL
2018-02-07,1066,1060,1066,7436,NABIL
2018-02-08,1070,1057,1065,8717,NABIL
2018-02-11,1070,1060,1070,6351,NABIL
2018-02-12,1074,1061,1062,6125,NABIL
2018-02-14,1075,1060,1068,11870,NABIL
2018-02-15,1104,1075,1104,18692,NABIL
2018-02-18,1126,1106,1112,19540,NABIL
2018-02-20,1130,1093,1100,9378,NABIL
2018-02-21,1096,1085,1095,2594,NABIL
2018-02-22,1100,1086,1090,8036,NABIL
2018-02-25,1090,1065,1070,10593,NABIL
2018-02-26,1085,1059,1059,12348,NABIL
2018-02-27,1075,1055,1068,19270,NABIL
2018-02-28,1067,1055,1060,12588,NABIL
2018-03-04,1045,1022,1034,13490,NABIL
2018-03-05,1070,1031,1035,9593,NABIL
2018-03-06,1060,1025,1050,15880,NABIL
2018-03-07,1065,1051,1060,21280,NABIL
2018-03-11,1060,1040,1044,11768,NABIL
2018-03-12,1043,1035,1043,8110,NABIL
2018-03-13,1041,1024,1030,14786,NABIL
2018-03-14,1040,1030,1030,9600,NABIL
2018-03-15,1035,1023,1023,11196,NABIL
2018-03-18,1029,1019,1025,12162,NABIL
2018-03-19,1030,1012,1015,12030,NABIL
2018-03-20,1015,998,1015,23717,NABIL
2018-03-21,1001,985,985,20783,NABIL
2018-03-22,990,969,975,20012,NABIL
2018-03-26,965,920,925,16921,NABIL
2018-03-27,950,888,939,25557,NABIL
2018-03-28,968,931,968,23753,NABIL
2018-03-29,987,967,970,18810,NABIL
